Name;WMC;DIT;NOCC;CBO;RFC;LCOM;WMC*;NOM;MPC;DAC;SIZE1;SIZE2;DSC;NOH;ANA;DAM;DCC;CAMC;MOA;MFA;NOP;CIS;NOM;Reusability;Flexibility;Understandability;Functionality;Extendibility;Effectiveness;FanIn
teammates.storage.api.InstructorsDb;29.0;2;0;17.0;123.0;404.0;1.482758641242981;29.0;134;1;284;31;1.0;0;1.0;1.0;15.0;0.13793103448275862;1.0;0.47272727;0.0;16.0;29.0;8.53448275862069;0.75;-9.85448275862069;3.7565517241379314;0.7363636344671249;0.6945454537868501;2
teammates.storage.api.StudentsDb;30.0;2;0;16.0;120.0;423.0;1.4333332777023315;30.0;90;2;243;33;1.0;0;1.0;1.0;14.0;0.15555555555555556;2.0;0.4642857;0.0;17.0;30.0;9.03888888888889;1.25;-10.178666666666667;3.9786666666666672;0.7321428507566452;0.8928571403026582;2
teammates.storage.api.FeedbackSessionsDb;27.0;2;0;11.0;126.0;351.0;1.296296238899231;27.0;149;1;299;28;1.0;0;1.0;1.0;9.0;0.09259259259259259;1.0;0.49056605;0.0;17.0;27.0;9.023148148148149;0.75;-9.209444444444445;3.9711111111111115;0.7452830225229263;0.6981132090091706;2
teammates.storage.api.FeedbackQuestionsDb;17.0;2;0;11.0;78.0;136.0;1.2941176891326904;17.0;67;1;170;18;1.0;0;1.0;1.0;9.0;0.17647058823529413;1.0;0.60465115;0.0;9.0;17.0;5.044117647058823;0.75;-5.881764705882353;2.2211764705882353;0.802325576543808;0.7209302306175233;2
teammates.storage.api.ProfilesDb;8.0;2;0;9.0;52.0;28.0;1.5;8.0;53;1;80;9;1.0;0;1.0;1.0;7.0;0.1875;1.0;0.7647059;0.0;4.0;8.0;2.546875;0.75;-2.908125;1.1225;0.8823529481887817;0.7529411792755127;2
teammates.storage.api.EntitiesDb;16.0;1;9;23.0;44.0;100.0;1.2857142686843872;16.0;26;1;123;20;1.0;1;0.0;0.0;5.0;0.1111111111111111;1.0;0.0;3.0;3.0;16.0;2.0277777777777777;2.0;-6.5633333333333335;1.7733333333333334;1.5;0.8;18
teammates.storage.api.FeedbackResponseCommentsDb;29.0;2;0;11.0;107.0;404.0;1.3103448152542114;29.0;80;2;284;31;1.0;0;1.0;1.0;9.0;0.14285714285714285;2.0;0.47272727;0.0;15.0;29.0;8.035714285714285;1.25;-9.852857142857143;3.5371428571428574;0.7363636344671249;0.89454545378685;2
teammates.storage.entity.Account;12.0;2;0;4.0;24.0;56.0;1.0;12.0;0;0;42;18;1.0;0;1.0;1.0;1.0;0.16666666666666666;0.0;0.47826087;0.0;12.0;12.0;6.541666666666667;0.25;-4.234999999999999;2.8800000000000003;0.739130437374115;0.49565217494964603;3
teammates.storage.entity.CourseStudent;24.0;2;0;6.0;54.0;250.0;1.0;24.0;13;0;90;35;1.0;0;1.0;1.0;2.0;0.22916666666666666;0.0;0.31428573;0.0;23.0;24.0;12.057291666666666;0.25;-8.174375;5.307499999999999;0.6571428626775742;0.4628571450710297;4
teammates.storage.entity.BaseEntity;1.0;1;9;9.0;2.0;0.0;-1000;1.0;0;0;0;0;2.0;1;0.0;-1000;0.0;-1000;0.0;0.0;0.0;0.0;1.0;0.75;-0.25;-1.65;0.54;0.0;-0.2;9
teammates.storage.entity.Course;12.0;2;0;4.0;25.0;56.0;1.0;12.0;2;0;42;18;1.0;0;1.0;1.0;1.0;0.25;0.0;0.47826087;0.0;12.0;12.0;6.5625;0.25;-4.2075;2.89;0.739130437374115;0.49565217494964603;3
teammates.storage.entity.Instructor;29.0;2;0;7.0;63.0;388.0;1.034482717514038;29.0;6;0;109;42;1.0;0;1.0;1.0;2.0;0.16091954022988506;0.0;0.275;0.0;28.0;29.0;14.540229885057471;0.25;-9.846896551724138;6.399310344827586;0.6375000029802322;0.45500000119209294;5
teammates.storage.entity.FeedbackSession;42.0;2;0;4.0;84.0;735.0;1.0;42.0;0;0;165;63;1.0;0;1.0;1.0;1.0;0.125;0.0;0.20754717;0.0;42.0;42.0;21.53125;0.25;-14.148750000000001;9.475000000000001;0.6037735864520073;0.44150943458080294;3
teammates.storage.entity.FeedbackQuestion;31.0;2;0;8.0;64.0;439.0;1.0;31.0;3;0;121;46;1.0;0;1.0;1.0;3.0;0.06912442396313365;3.0;0.26190478;0.0;31.0;31.0;16.017281105990783;1.75;-10.537188940092166;7.048294930875576;0.630952388048172;1.0523809552192689;5
teammates.storage.entity.FeedbackResponse;25.0;2;0;3.0;52.0;280.0;1.0;25.0;3;0;92;37;1.0;0;1.0;1.0;2.0;0.16;1.0;0.30555555;0.0;25.0;25.0;13.04;0.75;-8.5272;5.739199999999999;0.6527777761220932;0.6611111104488374;1
teammates.storage.entity.StudentProfile;16.0;2;0;1.0;0.0;0.0;0.0;16.0;0;0;0;0;1.0;0;1.0;1.0;0.0;0.0;0.0;0.4074074;0.0;16.0;16.0;8.5;0.25;-5.61;3.74;0.7037037014961243;0.48148148059844975;1
teammates.storage.entity.BaseEntity.InstantTranslatorFactory;1.0;1;0;0.0;2.0;0.0;1.0;1.0;0;0;15;1;1.0;0;0.0;-1000;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.75;-0.25;-0.66;0.33999999999999997;0.0;-0.2;0
